FlightNumber;Date;BoosterVersion;PayloadMass;Orbit;LaunchSite;Outcome;Flights;GridFins;Reused;Legs;LandingPad;Block;ReusedCount;Serial;Longitude;Latitude
1;04/06/2010;Falcon 9;6123.547647058824;LEO;CCSFS SLC 40;None None;1;False;False;False;;1.0;0;B0003;-80.577366;28.5618571
2;22/05/2012;Falcon 9;525.0;LEO;CCSFS SLC 40;None None;1;False;False;False;;1.0;0;B0005;-80.577366;28.5618571
3;01/03/2013;Falcon 9;677.0;ISS;CCSFS SLC 40;None None;1;False;False;False;;1.0;0;B0007;-80.577366;28.5618571
4;29/09/2013;Falcon 9;500.0;PO;VAFB SLC 4E;False Ocean;1;False;False;False;;1.0;0;B1003;-120.610829;34.632093
5;03/12/2013;Falcon 9;3170.0;GTO;CCSFS SLC 40;None None;1;False;False;False;;1.0;0;B1004;-80.577366;28.5618571
6;06/01/2014;Falcon 9;3325.0;GTO;CCSFS SLC 40;None None;1;False;False;False;;1.0;0;B1005;-80.577366;28.5618571
7;18/04/2014;Falcon 9;2296.0;ISS;CCSFS SLC 40;True Ocean;1;False;False;True;;1.0;0;B1006;-80.577366;28.5618571
8;14/07/2014;Falcon 9;1316.0;LEO;CCSFS SLC 40;True Ocean;1;False;False;True;;1.0;0;B1007;-80.577366;28.5618571
9;05/08/2014;Falcon 9;4535.0;GTO;CCSFS SLC 40;None None;1;False;False;False;;1.0;0;B1008;-80.577366;28.5618571
10;07/09/2014;Falcon 9;4428.0;GTO;CCSFS SLC 40;None None;1;False;False;False;;1.0;0;B1011;-80.577366;28.5618571
11;21/09/2014;Falcon 9;2216.0;ISS;CCSFS SLC 40;False Ocean;1;False;False;False;;1.0;0;B1010;-80.577366;28.5618571
12;10/01/2015;Falcon 9;2395.0;ISS;CCSFS SLC 40;False ASDS;1;True;False;True;5e9e3032383ecb761634e7cb;1.0;0;B1012;-80.577366;28.5618571
13;11/02/2015;Falcon 9;570.0;ES-L1;CCSFS SLC 40;True Ocean;1;True;False;True;;1.0;0;B1013;-80.577366;28.5618571
14;14/04/2015;Falcon 9;1898.0;ISS;CCSFS SLC 40;False ASDS;1;True;False;True;5e9e3032383ecb761634e7cb;1.0;0;B1015;-80.577366;28.5618571
15;27/04/2015;Falcon 9;4707.0;GTO;CCSFS SLC 40;None None;1;False;False;False;;1.0;0;B1016;-80.577366;28.5618571
16;28/06/2015;Falcon 9;2477.0;ISS;CCSFS SLC 40;None ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;1.0;0;B1018;-80.577366;28.5618571
17;22/12/2015;Falcon 9;2034.0;LEO;CCSFS SLC 40;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;1.0;0;B1019;-80.577366;28.5618571
18;17/01/2016;Falcon 9;553.0;PO;VAFB SLC 4E;False ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;1.0;0;B1017;-120.610829;34.632093
19;04/03/2016;Falcon 9;5271.0;GTO;CCSFS SLC 40;False ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;1.0;0;B1020;-80.577366;28.5618571
20;08/04/2016;Falcon 9;3136.0;ISS;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;2.0;1;B1021;-80.577366;28.5618571
21;06/05/2016;Falcon 9;4696.0;GTO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;2.0;0;B1022;-80.577366;28.5618571
22;27/05/2016;Falcon 9;3100.0;GTO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;2.0;1;B1023;-80.577366;28.5618571
23;18/07/2016;Falcon 9;2257.0;ISS;CCSFS SLC 40;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;2.0;1;B1025;-80.577366;28.5618571
24;14/08/2016;Falcon 9;4600.0;GTO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;2.0;0;B1026;-80.577366;28.5618571
25;01/09/2016;Falcon 9;5500.0;GTO;CCSFS SLC 40;None ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;3.0;0;B1028;-80.577366;28.5618571
26;14/01/2017;Falcon 9;9600.0;PO;VAFB SLC 4E;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;3.0;1;B1029;-120.610829;34.632093
27;19/02/2017;Falcon 9;2490.0;ISS;KSC LC 39A;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;3.0;1;B1031;-80.6039558;28.6080585
28;16/03/2017;Falcon 9;5600.0;GTO;KSC LC 39A;None None;1;False;False;False;;3.0;0;B1030;-80.6039558;28.6080585
29;30/03/2017;Falcon 9;5300.0;GTO;KSC LC 39A;True ASDS;2;True;True;True;5e9e3032383ecb6bb234e7ca;2.0;1;B1021;-80.6039558;28.6080585
30;01/05/2017;Falcon 9;6123.547647058824;LEO;KSC LC 39A;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;3.0;1;B1032;-80.6039558;28.6080585
31;15/05/2017;Falcon 9;6070.0;GTO;KSC LC 39A;None None;1;False;False;False;;3.0;0;B1034;-80.6039558;28.6080585
32;03/06/2017;Falcon 9;2708.0;ISS;KSC LC 39A;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;3.0;1;B1035;-80.6039558;28.6080585
33;23/06/2017;Falcon 9;3669.0;GTO;KSC LC 39A;True ASDS;2;True;True;True;5e9e3032383ecb6bb234e7ca;3.0;1;B1029;-80.6039558;28.6080585
34;25/06/2017;Falcon 9;9600.0;PO;VAFB SLC 4E;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;3.0;1;B1036;-120.610829;34.632093
35;05/07/2017;Falcon 9;6761.0;GTO;KSC LC 39A;None None;1;False;False;False;;3.0;0;B1037;-80.6039558;28.6080585
